record_id,student_id,session_id,session_type,question_id,timestamp,question_difficulty,response_time_sec,answer_revision_count,answer_revision_time_sec,correctness,pointer_distance_px,pointer_avg_speed_px_s,scroll_distance_px,scroll_events,paste_detected,character_burst_flag,device_type,session_position,time_of_day,source_dataset,human_review_label
R0001,S001,S001_LS01,low_stakes,q4598,2026-01-11 10:29:00,0.47,31.0,0,0.0,0,844.0,315.4,441.4,5,0,0,web_desktop,8,10:29,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0002,S001,S001_LS02,low_stakes,q8517,2026-01-12 11:13:00,0.66,27.8,1,5.2,0,624.9,223.0,584.9,2,0,0,web_laptop,5,11:13,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0003,S001,S001_LS03,low_stakes,q3621,2026-01-13 13:31:00,0.26,33.5,1,2.4,1,866.9,279.9,667.3,6,0,0,mobile,3,13:31,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0004,S001,S001_LS04,low_stakes,q6573,2026-01-14 09:43:00,0.82,30.3,0,0.0,0,1025.6,207.4,576.1,1,0,0,web_laptop,14,09:43,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0005,S001,S001_LS05,low_stakes,q3504,2026-01-15 11:53:00,0.65,33.6,0,0.0,1,839.5,178.5,786.5,5,0,0,web_desktop,18,11:53,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0006,S001,S001_LS06,low_stakes,q4946,2026-01-16 11:56:00,0.89,31.9,1,8.5,1,780.2,274.9,463.1,1,0,0,web_desktop,24,11:56,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0007,S001,S001_LS07,low_stakes,q4295,2026-01-17 13:27:00,0.88,31.5,0,0.0,0,901.8,174.0,664.1,4,0,0,web_laptop,22,13:27,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0008,S001,S001_LS08,low_stakes,q2163,2026-01-18 13:35:00,0.36,37.4,0,0.0,1,745.7,215.9,547.3,0,0,0,web_desktop,3,13:35,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0009,S001,S001_EX01,graded,q7669,2026-01-11 13:36:00,0.53,44.3,0,0.0,0,989.6,244.7,508.1,3,0,0,web_desktop,4,13:36,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0010,S001,S001_EX02,graded,q2790,2026-01-12 09:03:00,0.48,29.3,0,0.0,1,758.7,174.2,701.9,3,1,0,web_desktop,7,09:03,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0011,S001,S001_EX03,graded,q1241,2026-01-13 09:03:00,0.66,29.8,0,0.0,1,955.7,269.3,593.8,1,0,0,web_desktop,6,09:03,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0012,S001,S001_EX04,graded,q5673,2026-01-14 12:16:00,0.85,31.5,0,0.0,0,984.9,283.4,330.1,6,0,1,mobile,24,12:16,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0013,S002,S002_LS01,low_stakes,q9701,2026-01-13 11:03:00,0.24,40.8,1,5.8,0,709.0,257.3,134.7,2,0,0,web_desktop,17,11:03,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0014,S002,S002_LS02,low_stakes,q9565,2026-01-14 13:15:00,0.61,47.2,1,2.3,1,764.2,228.9,131.3,5,0,0,web_laptop,7,13:15,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0015,S002,S002_LS03,low_stakes,q9808,2026-01-15 09:29:00,0.63,32.1,1,6.5,1,717.1,303.5,138.3,3,0,0,mobile,9,09:29,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0016,S002,S002_LS04,low_stakes,q9666,2026-01-16 13:45:00,0.41,29.7,1,9.9,0,813.2,309.9,179.4,0,0,0,mobile,27,13:45,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0017,S002,S002_LS05,low_stakes,q5325,2026-01-17 11:38:00,0.35,23.0,1,4.7,1,936.6,333.7,158.5,8,0,0,web_laptop,9,11:38,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0018,S002,S002_LS06,low_stakes,q8007,2026-01-18 10:40:00,0.89,45.0,2,6.6,1,582.6,318.3,190.3,8,0,1,web_desktop,4,10:40,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0019,S002,S002_LS07,low_stakes,q6862,2026-01-19 11:23:00,0.83,43.7,1,8.4,0,858.6,251.2,194.3,3,0,0,mobile,8,11:23,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0020,S002,S002_LS08,low_stakes,q7755,2026-01-20 10:55:00,0.31,28.4,1,8.4,1,618.4,201.3,135.2,0,0,0,web_desktop,24,10:55,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0021,S002,S002_EX01,graded,q4269,2026-01-13 12:55:00,0.23,44.9,0,0.0,1,559.0,314.3,163.4,7,0,0,web_laptop,10,12:55,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0022,S002,S002_EX02,graded,q9785,2026-01-14 09:49:00,0.4,29.1,1,7.1,1,485.5,291.8,226.6,5,0,0,web_desktop,4,09:49,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0023,S002,S002_EX03,graded,q4114,2026-01-15 12:38:00,0.89,38.1,1,2.9,0,397.3,222.6,220.8,4,0,0,web_desktop,23,12:38,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0024,S002,S002_EX04,graded,q6409,2026-01-16 10:23:00,0.5,36.4,0,0.0,0,785.6,303.6,107.0,5,0,0,mobile,28,10:23,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0025,S003,S003_LS01,low_stakes,q7653,2026-01-15 12:43:00,0.72,28.6,1,3.4,1,493.2,225.5,417.1,8,0,0,web_desktop,10,12:43,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0026,S003,S003_LS02,low_stakes,q3780,2026-01-16 10:32:00,0.53,28.0,0,0.0,0,797.5,184.1,418.3,1,0,0,web_laptop,17,10:32,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0027,S003,S003_LS03,low_stakes,q2193,2026-01-17 09:15:00,0.89,20.8,0,0.0,0,921.0,274.3,517.8,7,0,0,web_laptop,29,09:15,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0028,S003,S003_LS04,low_stakes,q2746,2026-01-18 09:57:00,0.73,26.2,0,0.0,0,614.6,214.5,367.6,6,0,0,web_desktop,6,09:57,EdNet/Junyi + Balabit structure; mock completion,clean_mock
R0029,S003,S003_LS05,low_stakes,q8251,2026-01-19 13:35:00,0.62,25.0,0,0.0,0,521.8,237.4,563.5,8,0,0,web_laptop,27,13:35,EdNet/Junyi + Balabit structure; mock completion,clean_mock
